date,description,amount,category
2024-09-02,Hotstar Subscription,Rs 585.25,Subscriptions
2024-09-02,Ola Cab,Rs 122.24,Transportation
2024-09-04,Reliance Fresh,Rs 157.09,Groceries
2024-09-08,Flipkart Order,"Rs 3,964.79",Shopping
2024-09-09,DMart Purchase,"Rs 1,694.73",Groceries
2024-09-10,Zomato Food Delivery,Rs 536.49,Food & Dining
2024-09-11,Luxury Watch Service,"Rs 19,185.96",Shopping
2024-09-12,Hotstar Subscription,Rs 888.86,Subscriptions
2024-09-13,Meesho Order,Rs 301.79,Shopping
2024-09-14,Annual Bonus,"Rs 217,877.70",Income
2024-09-14,Security System,"Rs 25,753.28",Housing
2024-09-16,Premium Whisky Shop,"Rs 12,550.95",Food & Dining
2024-09-18,Uber Ride,Rs 181.68,Transportation
2024-09-19,Myntra Fashion,"Rs 3,124.99",Shopping
2024-09-19,Interest Credit,"Rs 10,801.72",Income
2024-09-20,Ola Cab,Rs 206.45,Transportation
2024-09-21,5-Star Hotel,"Rs 75,313.82",Travel
2024-09-22,Myntra Fashion,"Rs 2,364.10",Shopping
2024-09-24,Parking Premium Mall,Rs 297.47,Transportation
2024-09-25,Swiggy Order,Rs 373.12,Food & Dining
2024-09-25,BigBasket Groceries,Rs 521.36,Groceries
2024-09-25,Zomato Food Delivery,Rs 600.65,Food & Dining
2024-09-26,Rental Income,"Rs 73,173.36",Income
2024-09-26,Business Class Flight,"Rs 72,336.19",Travel
2024-09-26,Ajio Clothing,"Rs 2,112.92",Shopping
2024-09-26,More Supermarket,Rs 673.43,Groceries
2024-09-26,Swiggy Order,Rs 486.20,Food & Dining
2024-09-26,DMart Purchase,"Rs 1,907.20",Groceries
2024-09-27,Business Class Flight,"Rs 61,087.57",Travel
2024-09-27,Zomato Food Delivery,Rs 436.11,Food & Dining
2024-09-28,Chartered Accountant,"Rs 12,337.36",Miscellaneous
2024-09-29,DMart Purchase,Rs 642.92,Groceries
2024-09-29,BMW Service Center,"Rs 34,487.16",Transportation
2024-09-30,Golf Club Membership,"Rs 17,949.88",Healthcare
2024-09-30,Investment Advisory Fee,"Rs 19,889.22",Miscellaneous
2024-10-01,Fine Dining Restaurant,"Rs 14,194.50",Food & Dining
2024-10-03,Ajio Clothing,Rs 691.26,Shopping
2024-10-03,Designer Brand Store,"Rs 52,494.78",Shopping
2024-10-05,Reliance Fresh,"Rs 1,586.12",Groceries
2024-10-05,Rental Income,"Rs 34,669.39",Income
2024-10-06,Spotify Premium,Rs 119.00,Subscriptions
2024-10-06,Premium Whisky Shop,"Rs 10,165.46",Food & Dining
2024-10-08,5-Star Hotel,"Rs 25,974.97",Travel
2024-10-09,Rapido Bike Taxi,Rs 127.71,Transportation
2024-10-10,Annual Bonus,"Rs 480,532.91",Income
2024-10-10,Security System,"Rs 22,573.64",Housing
2024-10-11,Ajio Clothing,"Rs 1,423.51",Shopping
2024-10-12,BMW Service Center,"Rs 29,718.45",Transportation
2024-10-13,Investment Advisory Fee,"Rs 5,763.85",Miscellaneous
2024-10-14,Interior Design Service,"Rs 181,738.70",Housing
2024-10-14,5-Star Hotel,"Rs 12,041.52",Travel
2024-10-14,Swiggy Order,Rs 297.91,Food & Dining
2024-10-15,YouTube Premium,Rs 139.00,Subscriptions
2024-10-15,Chartered Accountant,"Rs 25,205.13",Miscellaneous
2024-10-16,Business Profit Transfer,"Rs 262,984.62",Income
2024-10-16,Security System,"Rs 12,407.36",Housing
2024-10-17,Investment Advisory Fee,"Rs 6,316.44",Miscellaneous
2024-10-18,Reliance Fresh,Rs 837.91,Groceries
2024-10-19,Hotstar Subscription,Rs 631.67,Subscriptions
2024-10-20,Premium Gym,"Rs 2,517.59",Healthcare
2024-10-21,Business Class Flight,"Rs 83,109.15",Travel
2024-10-21,Swiggy Order,Rs 896.99,Food & Dining
2024-10-23,Zomato Food Delivery,Rs 477.52,Food & Dining
2024-10-25,BMW Service Center,"Rs 12,191.05",Transportation
2024-10-25,5-Star Hotel,"Rs 46,172.09",Travel
2024-10-25,Reliance Fresh,Rs 749.79,Groceries
2024-10-26,Myntra Fashion,"Rs 3,545.46",Shopping
2024-10-27,Zomato Food Delivery,Rs 478.03,Food & Dining
2024-10-27,Uber Ride,Rs 397.85,Transportation
2024-10-27,Uber Ride,Rs 206.58,Transportation
2024-10-28,Flipkart Order,"Rs 5,581.62",Shopping
2024-10-29,Salary CTC Credit,"Rs 554,312.90",Income
2024-10-29,Annual Bonus,"Rs 453,763.36",Income
2024-10-30,Spotify Premium,Rs 119.00,Subscriptions
2024-10-30,Annual Bonus,"Rs 111,473.69",Income
2024-11-01,Hotstar Subscription,Rs 243.87,Subscriptions
2024-11-03,YouTube Premium,Rs 139.00,Subscriptions
2024-11-07,Golf Club Membership,"Rs 5,343.50",Healthcare
2024-11-10,Parking Premium Mall,Rs 310.05,Transportation
2024-11-10,Spotify Premium,Rs 119.00,Subscriptions
2024-11-11,Reliance Fresh,Rs 969.70,Groceries
2024-11-12,Ola Cab,Rs 266.17,Transportation
2024-11-15,Meesho Order,Rs 579.82,Shopping
2024-11-15,Golf Club Membership,"Rs 29,959.12",Healthcare
2024-11-17,Hotstar Subscription,Rs 746.39,Subscriptions
2024-11-18,Security System,"Rs 22,037.01",Housing
2024-11-20,Swiggy Order,Rs 342.61,Food & Dining
2024-11-20,Spotify Premium,Rs 119.00,Subscriptions
2024-11-22,Interior Design Service,"Rs 38,161.51",Housing
2024-11-22,5-Star Hotel,"Rs 49,041.27",Travel
2024-11-22,Meesho Order,"Rs 1,916.80",Shopping
2024-11-23,Ola Cab,Rs 81.37,Transportation
2024-11-24,Flipkart Order,"Rs 4,195.97",Shopping
2024-11-25,Chartered Accountant,"Rs 11,953.27",Miscellaneous
2024-11-27,Premium Whisky Shop,"Rs 7,232.25",Food & Dining
2024-11-27,Hotstar Subscription,Rs 238.62,Subscriptions
2024-11-27,Spotify Premium,Rs 119.00,Subscriptions
2024-12-01,DMart Purchase,"Rs 3,224.41",Groceries
2024-12-02,Ola Cab,Rs 458.98,Transportation
2024-12-04,Dividend Credit,"Rs 37,629.62",Income
2024-12-04,Flipkart Order,"Rs 4,782.41",Shopping
2024-12-04,Uber Ride,Rs 470.92,Transportation
2024-12-04,Designer Brand Store,"Rs 23,876.80",Shopping
2024-12-06,Stock Options,"Rs 183,985.48",Income
2024-12-06,Interior Design Service,"Rs 47,876.04",Housing
2024-12-07,Salary CTC Credit,"Rs 265,314.08",Income
2024-12-07,Security System,"Rs 10,804.37",Housing
2024-12-07,Meesho Order,Rs 902.17,Shopping
2024-12-08,Hotstar Subscription,Rs 876.67,Subscriptions
2024-12-08,Meesho Order,"Rs 1,353.62",Shopping
2024-12-08,Luxury Watch Service,"Rs 55,588.62",Shopping
2024-12-09,Meesho Order,Rs 404.01,Shopping
2024-12-10,Ajio Clothing,"Rs 1,684.53",Shopping
2024-12-10,Luxury Watch Service,"Rs 37,430.01",Shopping
2024-12-10,Amazon Prime,Rs 649.81,Subscriptions
2024-12-10,Premium Gym,"Rs 4,355.03",Healthcare
2024-12-10,BigBasket Groceries,"Rs 3,349.30",Groceries
2024-12-11,Spotify Premium,Rs 119.00,Subscriptions
2024-12-11,Premium Gym,"Rs 2,701.67",Healthcare
2024-12-11,Premium Whisky Shop,"Rs 3,448.92",Food & Dining
2024-12-11,Flipkart Order,"Rs 3,362.45",Shopping
2024-12-13,Uber Ride,Rs 281.31,Transportation
2024-12-14,Investment Advisory Fee,"Rs 13,966.89",Miscellaneous
2024-12-14,Designer Brand Store,"Rs 18,202.49",Shopping
2024-12-14,Amazon Prime,Rs 791.81,Subscriptions
2024-12-14,5-Star Hotel,"Rs 41,640.32",Travel
2024-12-17,Business Profit Transfer,"Rs 223,931.35",Income
2024-12-17,Business Class Flight,"Rs 73,142.80",Travel
2024-12-18,Amazon Prime,Rs 705.91,Subscriptions
2024-12-18,Amazon Prime,Rs 200.04,Subscriptions
2024-12-18,Parking Premium Mall,Rs 673.55,Transportation
2024-12-19,Reliance Fresh,"Rs 1,269.53",Groceries
2024-12-20,Designer Brand Store,"Rs 94,913.48",Shopping
2024-12-20,Annual Bonus,"Rs 373,161.20",Income
2024-12-21,Zomato Food Delivery,Rs 532.79,Food & Dining
2024-12-23,Zomato Food Delivery,Rs 438.25,Food & Dining
2024-12-23,Security System,"Rs 20,368.85",Housing
2024-12-23,Reliance Fresh,Rs 769.74,Groceries
2024-12-23,Rental Income,"Rs 35,441.70",Income
2024-12-26,Ola Cab,Rs 320.96,Transportation
2024-12-27,5-Star Hotel,"Rs 25,383.13",Travel
2024-12-27,Interior Design Service,"Rs 125,421.16",Housing
2024-12-27,Spotify Premium,Rs 119.00,Subscriptions
2024-12-28,Chartered Accountant,"Rs 32,039.48",Miscellaneous
2024-12-29,Designer Brand Store,"Rs 68,249.44",Shopping
2024-12-29,Amazon Purchase,"Rs 2,739.20",Shopping
2024-12-31,Swiggy Order,Rs 897.29,Food & Dining
2025-01-01,Premium Gym,"Rs 2,982.11",Healthcare
2025-01-02,Golf Club Membership,"Rs 19,916.49",Healthcare
2025-01-02,Meesho Order,"Rs 1,504.29",Shopping
2025-01-04,Premium Gym,"Rs 2,517.01",Healthcare
2025-01-04,Rental Income,"Rs 26,105.58",Income
2025-01-04,Uber Ride,Rs 216.67,Transportation
2025-01-04,Rapido Bike Taxi,Rs 109.09,Transportation
2025-01-05,Premium Gym,"Rs 3,497.92",Healthcare
2025-01-05,Uber Ride,Rs 188.24,Transportation
2025-01-06,Dividend Credit,"Rs 40,373.68",Income
2025-01-06,Interior Design Service,"Rs 137,348.87",Housing
2025-01-07,Amazon Purchase,"Rs 7,008.17",Shopping
2025-01-09,Investment Advisory Fee,"Rs 10,161.33",Miscellaneous
2025-01-11,Business Class Flight,"Rs 45,852.37",Travel
2025-01-11,YouTube Premium,Rs 139.00,Subscriptions
2025-01-11,Business Profit Transfer,"Rs 87,160.43",Income
2025-01-13,Meesho Order,"Rs 1,094.12",Shopping
2025-01-14,Luxury Watch Service,"Rs 77,329.81",Shopping
2025-01-14,Rapido Bike Taxi,Rs 63.65,Transportation
2025-01-16,Meesho Order,Rs 415.38,Shopping
2025-01-16,Golf Club Membership,"Rs 11,970.72",Healthcare
2025-01-17,YouTube Premium,Rs 139.00,Subscriptions
2025-01-19,Salary CTC Credit,"Rs 206,050.03",Income
2025-01-19,Annual Bonus,"Rs 213,071.11",Income
2025-01-19,Zomato Food Delivery,Rs 264.66,Food & Dining
2025-01-20,Premium Gym,"Rs 4,968.46",Healthcare
2025-01-21,Business Profit Transfer,"Rs 248,861.84",Income
2025-01-23,Rental Income,"Rs 38,929.12",Income
2025-01-23,Reliance Fresh,"Rs 1,034.02",Groceries
2025-01-24,Investment Advisory Fee,"Rs 6,344.71",Miscellaneous
2025-01-26,Designer Brand Store,"Rs 72,078.03",Shopping
2025-01-27,YouTube Premium,Rs 139.00,Subscriptions
2025-01-28,Parking Premium Mall,Rs 630.20,Transportation
2025-01-29,Ola Cab,Rs 283.04,Transportation
2025-01-29,Premium Whisky Shop,"Rs 4,828.76",Food & Dining
2025-01-30,Swiggy Order,Rs 509.40,Food & Dining
2025-01-30,Fine Dining Restaurant,"Rs 15,684.26",Food & Dining
2025-01-30,Dividend Credit,"Rs 51,836.40",Income
2025-01-30,Interest Credit,"Rs 26,336.63",Income
2025-01-30,Swiggy Order,Rs 882.04,Food & Dining
2025-01-30,Amazon Purchase,"Rs 2,196.50",Shopping
2025-02-01,Swiggy Order,Rs 500.21,Food & Dining
2025-02-02,Reliance Fresh,Rs 232.66,Groceries
2025-02-03,Netflix Subscription,Rs 294.97,Subscriptions
2025-02-04,Meesho Order,"Rs 1,563.22",Shopping
2025-02-05,5-Star Hotel,"Rs 35,004.11",Travel
2025-02-05,BMW Service Center,"Rs 7,320.14",Transportation
2025-02-05,Ola Cab,Rs 243.26,Transportation
2025-02-07,Rental Income,"Rs 63,486.84",Income
2025-02-07,Security System,"Rs 5,058.36",Housing
2025-02-07,BMW Service Center,"Rs 35,151.45",Transportation
2025-02-07,Golf Club Membership,"Rs 26,807.19",Healthcare
2025-02-07,BigBasket Groceries,"Rs 1,527.50",Groceries
2025-02-07,Fine Dining Restaurant,"Rs 18,345.25",Food & Dining
2025-02-08,Netflix Subscription,Rs 503.71,Subscriptions
2025-02-09,Interest Credit,"Rs 25,878.40",Income
2025-02-09,Chartered Accountant,"Rs 24,201.96",Miscellaneous
2025-02-09,Spotify Premium,Rs 119.00,Subscriptions
2025-02-09,Designer Brand Store,"Rs 27,901.98",Shopping
2025-02-09,Fine Dining Restaurant,"Rs 4,922.17",Food & Dining
2025-02-10,Fine Dining Restaurant,"Rs 10,196.68",Food & Dining
2025-02-11,Designer Brand Store,"Rs 92,619.18",Shopping
2025-02-11,Flipkart Order,"Rs 3,116.64",Shopping
2025-02-12,Designer Brand Store,"Rs 81,424.07",Shopping
2025-02-14,Rental Income,"Rs 49,069.99",Income
2025-02-14,Amazon Prime,Rs 426.21,Subscriptions
2025-02-15,DMart Purchase,Rs 748.18,Groceries
2025-02-15,Amazon Prime,Rs 913.20,Subscriptions
2025-02-15,Investment Advisory Fee,"Rs 11,364.19",Miscellaneous
2025-02-17,Flipkart Order,"Rs 3,564.05",Shopping
2025-02-18,Reliance Fresh,"Rs 1,932.81",Groceries
2025-02-19,Rental Income,"Rs 66,134.06",Income
2025-02-20,Business Class Flight,"Rs 110,126.07",Travel
2025-02-21,Amazon Prime,Rs 996.93,Subscriptions
2025-02-21,Fine Dining Restaurant,"Rs 19,604.34",Food & Dining
2025-02-22,Ola Cab,Rs 239.23,Transportation
2025-02-24,Security System,"Rs 6,476.86",Housing
2025-02-26,BigBasket Groceries,Rs 461.90,Groceries
2025-02-26,Premium Whisky Shop,"Rs 9,616.66",Food & Dining
2025-02-26,YouTube Premium,Rs 139.00,Subscriptions
2025-02-26,Reliance Fresh,Rs 575.71,Groceries
2025-02-27,Reliance Fresh,"Rs 1,659.03",Groceries
2025-02-28,Ajio Clothing,"Rs 2,447.60",Shopping
2025-03-01,Amazon Purchase,"Rs 6,780.73",Shopping
2025-03-02,Rapido Bike Taxi,Rs 43.69,Transportation
2025-03-03,Business Profit Transfer,"Rs 131,164.32",Income
2025-03-04,Security System,"Rs 10,448.01",Housing
2025-03-04,Premium Gym,"Rs 4,945.28",Healthcare
2025-03-05,Golf Club Membership,"Rs 12,282.53",Healthcare
2025-03-05,Designer Brand Store,"Rs 26,026.03",Shopping
2025-03-06,Rapido Bike Taxi,Rs 196.19,Transportation
2025-03-08,Investment Advisory Fee,"Rs 19,202.42",Miscellaneous
2025-03-08,DMart Purchase,"Rs 1,772.78",Groceries
2025-03-09,Stock Options,"Rs 155,429.24",Income
2025-03-12,Spotify Premium,Rs 119.00,Subscriptions
2025-03-13,Swiggy Order,Rs 881.34,Food & Dining
2025-03-13,Designer Brand Store,"Rs 22,324.83",Shopping
2025-03-15,Swiggy Order,Rs 698.46,Food & Dining
2025-03-16,Swiggy Order,Rs 873.82,Food & Dining
2025-03-17,Meesho Order,"Rs 1,708.22",Shopping
2025-03-17,Rental Income,"Rs 22,475.26",Income
2025-03-18,Luxury Watch Service,"Rs 57,006.88",Shopping
2025-03-19,DMart Purchase,"Rs 1,045.57",Groceries
2025-03-19,5-Star Hotel,"Rs 13,219.40",Travel
2025-03-19,Annual Bonus,"Rs 363,747.13",Income
2025-03-19,Flipkart Order,"Rs 1,801.23",Shopping
2025-03-19,Ola Cab,Rs 422.89,Transportation
2025-03-20,Netflix Subscription,Rs 464.06,Subscriptions
2025-03-20,Myntra Fashion,"Rs 3,221.66",Shopping
2025-03-20,Dividend Credit,"Rs 69,573.47",Income
2025-03-22,Flipkart Order,"Rs 5,034.52",Shopping
2025-03-22,YouTube Premium,Rs 139.00,Subscriptions
2025-03-22,Rapido Bike Taxi,Rs 138.72,Transportation
2025-03-23,Zomato Food Delivery,Rs 672.28,Food & Dining
2025-03-23,Spotify Premium,Rs 119.00,Subscriptions
2025-03-24,Flipkart Order,"Rs 5,383.23",Shopping
2025-03-25,Reliance Fresh,Rs 731.11,Groceries
2025-03-26,Dividend Credit,"Rs 65,349.04",Income
2025-03-26,Security System,"Rs 13,577.31",Housing
2025-03-28,BookMyShow Tickets,"Rs 1,131.11",Entertainment
2025-03-29,Zomato Food Delivery,Rs 366.22,Food & Dining
2025-03-31,Parking Premium Mall,Rs 360.19,Transportation
2025-04-01,Meesho Order,Rs 990.34,Shopping
2025-04-01,Reliance Fresh,"Rs 1,048.50",Groceries
2025-04-01,Interior Design Service,"Rs 36,074.93",Housing
2025-04-02,Netflix Subscription,Rs 334.83,Subscriptions
2025-04-02,Hotstar Subscription,Rs 461.25,Subscriptions
2025-04-04,Ola Cab,Rs 471.65,Transportation
2025-04-05,BookMyShow Tickets,"Rs 1,389.31",Entertainment
2025-04-05,BigBasket Groceries,"Rs 3,268.78",Groceries
2025-04-05,Meesho Order,Rs 947.42,Shopping
2025-04-06,Ola Cab,Rs 88.19,Transportation
2025-04-06,Ajio Clothing,"Rs 2,854.11",Shopping
2025-04-06,Premium Gym,"Rs 3,318.78",Healthcare
2025-04-06,Interior Design Service,"Rs 80,048.01",Housing
2025-04-06,Reliance Fresh,"Rs 1,410.03",Groceries
2025-04-08,Reliance Fresh,"Rs 1,618.79",Groceries
2025-04-09,Premium Whisky Shop,"Rs 4,277.01",Food & Dining
2025-04-09,YouTube Premium,Rs 139.00,Subscriptions
2025-04-10,Amazon Purchase,"Rs 2,997.91",Shopping
2025-04-11,Uber Ride,Rs 456.24,Transportation
2025-04-12,Fine Dining Restaurant,"Rs 17,617.98",Food & Dining
2025-04-13,Zomato Food Delivery,Rs 516.38,Food & Dining
2025-04-13,Luxury Watch Service,"Rs 22,717.94",Shopping
2025-04-13,5-Star Hotel,"Rs 50,565.01",Travel
2025-04-14,Chartered Accountant,"Rs 31,612.05",Miscellaneous
2025-04-15,Premium Whisky Shop,"Rs 13,349.31",Food & Dining
2025-04-17,Myntra Fashion,"Rs 2,873.77",Shopping
2025-04-19,YouTube Premium,Rs 139.00,Subscriptions
2025-04-19,Fine Dining Restaurant,"Rs 10,411.23",Food & Dining
2025-04-20,Amazon Prime,Rs 951.81,Subscriptions
2025-04-20,Netflix Subscription,Rs 374.08,Subscriptions
2025-04-21,Hotstar Subscription,Rs 473.33,Subscriptions
2025-04-23,5-Star Hotel,"Rs 35,428.32",Travel
2025-04-23,Security System,"Rs 27,183.40",Housing
2025-04-23,Uber Ride,Rs 502.38,Transportation
2025-04-25,BookMyShow Tickets,"Rs 1,161.83",Entertainment
2025-04-25,Ola Cab,Rs 207.70,Transportation
2025-04-28,Zomato Food Delivery,Rs 457.39,Food & Dining
2025-04-28,Luxury Watch Service,"Rs 71,800.68",Shopping
2025-04-28,Interior Design Service,"Rs 123,346.77",Housing
2025-04-28,Chartered Accountant,"Rs 15,543.01",Miscellaneous
2025-04-30,Dividend Credit,"Rs 60,665.83",Income
2025-05-01,Premium Gym,"Rs 4,271.59",Healthcare
2025-05-01,Business Profit Transfer,"Rs 122,671.33",Income
2025-05-02,Chartered Accountant,"Rs 30,397.66",Miscellaneous
2025-05-02,More Supermarket,Rs 118.68,Groceries
2025-05-02,BMW Service Center,"Rs 31,782.26",Transportation
2025-05-02,Uber Ride,Rs 192.37,Transportation
2025-05-03,Fine Dining Restaurant,"Rs 19,405.45",Food & Dining
2025-05-03,BigBasket Groceries,"Rs 2,461.30",Groceries
2025-05-04,Flipkart Order,"Rs 2,564.61",Shopping
2025-05-05,YouTube Premium,Rs 139.00,Subscriptions
2025-05-05,Business Profit Transfer,"Rs 57,154.50",Income
2025-05-08,Parking Premium Mall,Rs 685.35,Transportation
2025-05-09,Amazon Prime,Rs 568.55,Subscriptions
2025-05-09,Business Profit Transfer,"Rs 256,910.52",Income
2025-05-11,Hotstar Subscription,Rs 740.46,Subscriptions
2025-05-11,Interior Design Service,"Rs 74,336.25",Housing
2025-05-11,Stock Options,"Rs 252,677.17",Income
2025-05-12,Designer Brand Store,"Rs 46,658.47",Shopping
2025-05-12,Designer Brand Store,"Rs 30,798.70",Shopping
2025-05-13,Premium Gym,"Rs 3,080.06",Healthcare
2025-05-13,Amazon Prime,Rs 181.12,Subscriptions
2025-05-13,Designer Brand Store,"Rs 5,267.14",Shopping
2025-05-14,Dividend Credit,"Rs 50,203.29",Income
2025-05-15,Designer Brand Store,"Rs 93,283.28",Shopping
2025-05-17,BigBasket Groceries,"Rs 3,752.99",Groceries
2025-05-18,Designer Brand Store,"Rs 81,681.01",Shopping
2025-05-19,Ola Cab,Rs 384.66,Transportation
2025-05-19,5-Star Hotel,"Rs 39,982.81",Travel
2025-05-21,Premium Gym,"Rs 3,605.78",Healthcare
2025-05-21,Ola Cab,Rs 94.00,Transportation
2025-05-22,Zomato Food Delivery,Rs 488.29,Food & Dining
2025-05-22,Designer Brand Store,"Rs 16,945.82",Shopping
2025-05-23,Myntra Fashion,"Rs 1,070.89",Shopping
2025-05-24,More Supermarket,"Rs 1,072.99",Groceries
2025-05-25,Rental Income,"Rs 74,347.06",Income
2025-05-25,Security System,"Rs 14,322.92",Housing
2025-05-25,BigBasket Groceries,"Rs 3,354.49",Groceries
2025-05-25,Uber Ride,Rs 134.17,Transportation
2025-05-26,Business Class Flight,"Rs 101,704.22",Travel
2025-05-27,BigBasket Groceries,"Rs 1,857.27",Groceries
2025-05-27,Business Class Flight,"Rs 32,828.46",Travel
2025-05-28,Business Profit Transfer,"Rs 166,521.71",Income
2025-05-28,BigBasket Groceries,"Rs 3,535.54",Groceries
2025-05-28,Rapido Bike Taxi,Rs 49.02,Transportation
2025-05-28,Stock Options,"Rs 77,931.25",Income
2025-05-29,Dividend Credit,"Rs 39,163.38",Income
2025-05-30,Swiggy Order,Rs 150.71,Food & Dining
2025-05-31,Myntra Fashion,"Rs 3,400.50",Shopping
2025-06-01,Hotstar Subscription,Rs 821.52,Subscriptions
2025-06-02,More Supermarket,"Rs 1,787.91",Groceries
2025-06-02,Stock Options,"Rs 231,442.61",Income
2025-06-03,Stock Options,"Rs 192,554.28",Income
2025-06-03,Designer Brand Store,"Rs 25,389.84",Shopping
2025-06-06,Premium Whisky Shop,"Rs 10,379.04",Food & Dining
2025-06-08,Business Class Flight,"Rs 108,098.40",Travel
2025-06-08,Rapido Bike Taxi,Rs 105.97,Transportation
2025-06-08,Dividend Credit,"Rs 26,087.50",Income
2025-06-08,Business Class Flight,"Rs 47,812.02",Travel
2025-06-09,Chartered Accountant,"Rs 41,002.94",Miscellaneous
2025-06-09,Amazon Prime,Rs 712.77,Subscriptions
2025-06-09,Ola Cab,Rs 352.43,Transportation
2025-06-10,Business Class Flight,"Rs 136,294.22",Travel
2025-06-10,BigBasket Groceries,"Rs 2,089.87",Groceries
2025-06-11,Fine Dining Restaurant,"Rs 13,005.81",Food & Dining
2025-06-11,Luxury Watch Service,"Rs 67,028.22",Shopping
2025-06-13,Salary CTC Credit,"Rs 407,984.43",Income
2025-06-13,Chartered Accountant,"Rs 49,266.44",Miscellaneous
2025-06-16,Netflix Subscription,Rs 192.85,Subscriptions
2025-06-16,Hotstar Subscription,Rs 380.23,Subscriptions
2025-06-16,Amazon Prime,Rs 677.09,Subscriptions
2025-06-17,Interest Credit,"Rs 22,512.61",Income
2025-06-17,Interior Design Service,"Rs 100,427.09",Housing
2025-06-20,5-Star Hotel,"Rs 16,362.61",Travel
2025-06-20,DMart Purchase,Rs 909.72,Groceries
2025-06-22,Business Profit Transfer,"Rs 72,045.95",Income
2025-06-23,5-Star Hotel,"Rs 49,740.29",Travel
2025-06-23,Interior Design Service,"Rs 196,941.08",Housing
2025-06-24,Rapido Bike Taxi,Rs 31.49,Transportation
2025-06-25,Ola Cab,Rs 116.44,Transportation
2025-06-25,Amazon Prime,Rs 356.67,Subscriptions
2025-06-26,Amazon Prime,Rs 395.53,Subscriptions
2025-06-28,Business Class Flight,"Rs 35,861.20",Travel
2025-06-28,Spotify Premium,Rs 119.00,Subscriptions
2025-06-29,Rental Income,"Rs 59,800.40",Income
2025-06-29,Premium Gym,"Rs 4,837.71",Healthcare
2025-06-29,Golf Club Membership,"Rs 6,656.88",Healthcare
2025-06-29,Rapido Bike Taxi,Rs 134.63,Transportation
2025-06-29,Reliance Fresh,Rs 828.79,Groceries
2025-06-29,Golf Club Membership,"Rs 17,338.18",Healthcare
2025-07-02,Hotstar Subscription,Rs 807.44,Subscriptions
2025-07-02,5-Star Hotel,"Rs 17,258.38",Travel
2025-07-02,Designer Brand Store,"Rs 81,575.18",Shopping
2025-07-03,Rental Income,"Rs 66,901.12",Income
2025-07-04,Spotify Premium,Rs 119.00,Subscriptions
2025-07-05,Parking Premium Mall,Rs 623.66,Transportation
2025-07-05,Luxury Watch Service,"Rs 51,522.95",Shopping
2025-07-09,Salary CTC Credit,"Rs 244,678.28",Income
2025-07-09,Zomato Food Delivery,Rs 364.33,Food & Dining
2025-07-10,Parking Premium Mall,Rs 514.90,Transportation
2025-07-10,Salary CTC Credit,"Rs 552,330.89",Income
2025-07-10,Netflix Subscription,Rs 568.60,Subscriptions
2025-07-10,Chartered Accountant,"Rs 25,685.32",Miscellaneous
2025-07-11,Hotstar Subscription,Rs 452.86,Subscriptions
2025-07-12,Parking Premium Mall,Rs 479.01,Transportation
2025-07-12,Fine Dining Restaurant,"Rs 9,234.07",Food & Dining
2025-07-13,BMW Service Center,"Rs 31,580.31",Transportation
2025-07-13,Annual Bonus,"Rs 111,879.35",Income
2025-07-14,Fine Dining Restaurant,"Rs 3,654.63",Food & Dining
2025-07-15,Golf Club Membership,"Rs 24,063.11",Healthcare
2025-07-17,5-Star Hotel,"Rs 64,846.18",Travel
2025-07-17,Parking Premium Mall,Rs 451.26,Transportation
2025-07-17,Reliance Fresh,Rs 262.28,Groceries
2025-07-17,Myntra Fashion,"Rs 2,368.89",Shopping
2025-07-18,Luxury Watch Service,"Rs 52,655.87",Shopping
2025-07-19,More Supermarket,"Rs 1,766.05",Groceries
2025-07-19,More Supermarket,"Rs 1,755.18",Groceries
2025-07-20,Flipkart Order,"Rs 4,874.17",Shopping
2025-07-20,Business Profit Transfer,"Rs 127,586.47",Income
2025-07-21,Rental Income,"Rs 62,648.22",Income
2025-07-21,Uber Ride,Rs 380.76,Transportation
2025-07-22,YouTube Premium,Rs 139.00,Subscriptions
2025-07-22,Hotstar Subscription,Rs 849.24,Subscriptions
2025-07-24,BMW Service Center,"Rs 49,268.82",Transportation
2025-07-24,More Supermarket,"Rs 1,048.96",Groceries
2025-07-24,Business Profit Transfer,"Rs 150,928.76",Income
2025-07-25,Hotstar Subscription,Rs 503.37,Subscriptions
2025-07-25,Luxury Watch Service,"Rs 26,721.51",Shopping
2025-07-26,Parking Premium Mall,Rs 551.39,Transportation
2025-07-26,Hotstar Subscription,Rs 650.18,Subscriptions
2025-07-27,Reliance Fresh,Rs 580.89,Groceries
2025-07-27,YouTube Premium,Rs 139.00,Subscriptions
2025-07-28,Meesho Order,Rs 634.91,Shopping
2025-07-28,Designer Brand Store,"Rs 78,532.26",Shopping
2025-07-29,BigBasket Groceries,"Rs 2,616.32",Groceries
2025-07-29,Amazon Purchase,"Rs 4,721.40",Shopping
2025-07-30,Meesho Order,Rs 679.21,Shopping
2025-07-30,Investment Advisory Fee,"Rs 14,053.27",Miscellaneous
2025-07-30,Annual Bonus,"Rs 143,513.43",Income
2025-08-02,Reliance Fresh,Rs 983.48,Groceries
2025-08-04,Hotstar Subscription,Rs 507.78,Subscriptions
2025-08-05,Rental Income,"Rs 32,479.19",Income
2025-08-06,BigBasket Groceries,"Rs 1,203.52",Groceries
2025-08-07,BigBasket Groceries,"Rs 2,766.95",Groceries
2025-08-07,Salary CTC Credit,"Rs 483,912.31",Income
